pet_type,product_category,product_id,price,rating,sales,re_buy
Bird,Snack,4987,18.36,6,222000,0
Bird,Snack,5005,19.72,6,197000,0
Bird,Toys,5009,12.05,6,174000,0
Bird,Equipment,5037,0.35,7,157000,1
Bird,Snack,5017,20.15,6,146000,1
Bird,Toys,4991,6.27,6,118000,0
Bird,Toys,5015,35.06,6,59000,1
Cat,Snack,4777,45.23,7,229000,0
Cat,Food,4583,22.16,10,228000,1
Cat,Toys,4931,25.80,6,226000,0
Cat,Clothes,4663,43.90,10,224000,1
Cat,Toys,4949,10.28,6,217000,0
Cat,Food,4731,36.31,7,213000,1
Cat,Food,4689,31.10,10,199000,1
Cat,Medicine,4711,12.54,10,195000,0
Cat,Toys,4877,46.92,6,194000,0
Cat,Food,4209,14.99,6,192000,0
Dog,Snack,4430,66.40,6,229000,1
Dog,Grooming,4372,6.24,9,227000,0
Dog,Snack,4948,94.25,6,221000,0
Dog,Snack,4792,20.97,7,217000,0
Dog,Equipment,4932,4.03,6,213000,0
Dog,Grooming,4482,26.68,4,210000,1
Dog,Medicine,4414,52.82,3,206000,0
Dog,Equipment,4332,52.03,9,203000,1
Dog,Grooming,4460,61.07,3,200000,1
Dog,Equipment,4842,14.55,1,199000,1
Fish,Equipment,5010,31.47,6,224000,0
Fish,Toys,4970,14.69,6,175000,0
Fish,Equipment,4962,26.47,6,134000,0
Fish,Toys,5030,8.84,6,133000,1
Fish,Snack,5008,2.28,6,127000,0
Fish,Equipment,4980,38.77,6,126000,0
Fish,Equipment,4974,4.59,6,125000,0
